ml,mAU
1.015,-1.365787
1.016,-1.366709
1.017,-1.368976
1.017,-1.367466
1.018,-1.369103
1.019,-1.368763
1.02,-1.368156
1.021,-1.367389
1.022,-1.366893
1.022,-1.365047
1.023,-1.363869
1.024,-1.365138
1.025,-1.36541
1.026,-1.36592
1.026,-1.366466
1.027,-1.364887
1.028,-1.365494
1.029,-1.365709
1.03,-1.366367
1.031,-1.365009
1.031,-1.365153
1.032,-1.366063
1.033,-1.366375
1.034,-1.366378
1.035,-1.366616
1.036,-1.367161
1.036,-1.366665
1.037,-1.365701
1.038,-1.367256
1.039,-1.367087
1.04,-1.36727
1.041,-1.36926
1.041,-1.369703
1.042,-1.369514
1.043,-1.369569
1.044,-1.371652
1.045,-1.372641
1.046,-1.372565
1.046,-1.372882
1.047,-1.374019
1.048,-1.377202
1.049,-1.379323
1.05,-1.381317
1.051,-1.383096
1.051,-1.38489
1.052,-1.385263
1.053,-1.385916
1.054,-1.386239
1.055,-1.388349
1.056,-1.390534
1.056,-1.391556
1.057,-1.393039
1.058,-1.393466
1.059,-1.392756
1.06,-1.393429
1.061,-1.392478
1.061,-1.391732
1.062,-1.392909
1.063,-1.393375
1.064,-1.39415
1.065,-1.392929
1.066,-1.392315
1.066,-1.392436
1.067,-1.392424
1.068,-1.391271
1.069,-1.390635
1.07,-1.391118
1.071,-1.391154
1.071,-1.392627
1.072,-1.393292
1.073,-1.394582
1.074,-1.394191
1.075,-1.394178
1.076,-1.393928
1.076,-1.393144
1.077,-1.393323
1.078,-1.393275
1.079,-1.39418
1.08,-1.395003
1.081,-1.394347
1.081,-1.393721
1.082,-1.393895
1.083,-1.394147
1.084,-1.394152
1.085,-1.394416
1.086,-1.395297
1.086,-1.395812
1.087,-1.395655
1.088,-1.395263
1.089,-1.396085
1.09,-1.397459
1.091,-1.397996
1.091,-1.399305
1.092,-1.399983
1.093,-1.400006
1.094,-1.399438
1.095,-1.399188
1.096,-1.399481
1.096,-1.399029
1.097,-1.399891
1.098,-1.400034
1.099,-1.399159
1.1,-1.39887
1.101,-1.398752
1.101,-1.397852
1.102,-1.396963
1.103,-1.396105
1.104,-1.394182
1.105,-1.393505
1.106,-1.393508
1.106,-1.391831
1.107,-1.38927
1.108,-1.386886
1.109,-1.384833
1.11,-1.381492
1.111,-1.376995
1.111,-1.370181
1.112,-1.360607
1.113,-1.351143
1.114,-1.344058
1.115,-1.34108
1.116,-1.338406
1.116,-1.334894
1.117,-1.329752
1.118,-1.324105
1.119,-1.320146
1.12,-1.315867
1.12,-1.311133
1.121,-1.305736
1.122,-1.300998
1.123,-1.296355
1.124,-1.291597
1.125,-1.288269
1.125,-1.28389
1.126,-1.278555
1.127,-1.275028
1.128,-1.273068
1.129,-1.270984
1.13,-1.267707
1.13,-1.265062
1.131,-1.263346
1.132,-1.264172
1.133,-1.266715
1.134,-1.268921
1.135,-1.269657
1.135,-1.26718
1.136,-1.265379
1.137,-1.262947
1.138,-1.261006
1.139,-1.259078
1.14,-1.257087
1.14,-1.255937
1.141,-1.254713
1.142,-1.253743
1.143,-1.25476
1.144,-1.255629
1.145,-1.256667
1.145,-1.257154
1.146,-1.258007
1.147,-1.259079
